STATE,StringencyIndex,GovernmentResponseIndex,DEATHS_PER_1M_2FEB2022,TESTS_PER_1M_2FEB2022,CASES_PER_1M_2FEB2022,CONFIRMED_CASES_2FEB2022,POP,People_Homelessness,People_Homelessness_PCT_POP,PEOPLE_SERVED_PER_Rural_Health_Clinics,PEOPLE_SERVED_PER_Primary_Care_Physician,PEOPLE_SERVED_PER_Specialist_Physician,PEOPLE_SERVED_PER_PHYSICIAN,TRUMP_PCT_2020,Employer_INSURANCE,NonGroup_INSURANCE,Medicaid_INSURANCE,Medicare_INSURANCE,Military_INSURANCE,Uninsured,Uninsured_BELOW_100_PL,PL_Under_100,PL_100_199,PL_200_399,PL_400,Children_0_18,Adults_19_25,Adults_26_34,Adults_35_54,Adults_55_64,Adults_65_PLUS,Unemployed,PREEXISTING_All_Nonelderly_Adults,PREEXISTING_Adults_Ages_18_34,PREEXISTING_Adults_Ages_35_44,PREEXISTING_Adults_Ages_45_54,PREEXISTING_Adults_Ages_55_64,SMOKING_ADULTS_PCT,Cancer_Incidence_PER_ 1M,DIABETIES_PCT,Pre_Diabetes_PCT,Adults_CARDIO_DISEASE_PCT,HYPERTENSION_PCT,OBESITY_ADULTS_PCT,LUNG_DISEASE_Adults_PCT,ASTHMA_Adults_PCT,PHYSICAL_ACTIVITY_Adults_PCT,White_PCT,Black_PCT,Hispanic_PCT,Asian_PCT,NATIVE_AMERICAN_PCT,Multiple_RACE_PCT,NO_DOCTOR_VISIT_PAST_12MO_ADULTS,NO_DOCTOR_VISIT_PAST_12MO_White,NO_DOCTOR_VISIT_PAST_12MO_Black,NO_DOCTOR_VISIT_PAST_12MO_Hispanic,HOSP_BED_STATE_LOCAL_PER_1K,HOSP_BED_NON_PROFIT_PER_1K,HOSP_BED_FOR_PROFIT_PER_1K,HOSP_BED_Total_PER_1K,ICU_BEDS_PER_10K,Licensed_Nurse_Hours_AVG_HOURS_PER_RESIDENT_DAY,Total_Nursing_Staff_Hours_AVG_PER_RESIDENT_DAY,PEOPLE_SERVED_NURSE_PRACTITIONERS,Critical_Care_Physicians_PER_10K,Critical_Care_Nurses_PER_10K,SECOND_LINE_Critical_Care_Physicians_PER_10K,PCT_VACCINATED_COVID_4FEB2022,UMEMP_MAR2020,UNEMP_DEC2020,CHANGE_UNEMP_MAR2020_DEC2020,CHANGE_UNEMP_MAR2020_DEC2021
Massachusetts ,42.1017801,47.43501309,3202,5655553,233149,1620268,6949496,17975,2586.52,1389899.163,432.9364451,312.8853188,181.6244366,0.32,0.548,0.044,0.212,0.166,0.006,0.024,0.064,0.086,0.114,0.236,0.563,0.209,0.087,0.132,0.26,0.141,0.171,0.054,0.23,0.15,0.2,0.25,0.35,0.096,464.3,0.091,0.014,0.064,0.281,0.242,0.049,0.108,0.813,0.705,0.07,0.124,0.067,0.002,0.032,0.068,0.057,0.089,0.148,0.05,1.84,0.37,2.26,2.3,1.6,3.7,750.5665839,1.01,2.15,6.19,76.6,2.7,8.4,5.7,2.7
Michigan ,36.84518024,45.13672897,3268,2289749,228601,2283010,9986877,8638,864.94,50438.7712,516.1176588,442.2690181,238.1740645,0.48,0.526,0.041,0.194,0.188,0.011,0.039,0.101,0.112,0.138,0.292,0.458,0.227,0.091,0.118,0.246,0.142,0.177,0.059,0.29,0.19,0.24,0.34,0.46,0.156,450.9,0.133,0.019,0.084,0.351,0.356,0.084,0.113,0.796,0.749,0.134,0.053,0.032,0.005,0.027,0.074,0.063,0.099,0.137,0.07,2.23,0.26,2.56,2.8,1.7,4.1,1196.033174,0.72,3.99,4.18,58.4,3.7,8.2,4.5,2.2
Minnesota ,37.82460026,40.4921232,2069,3200171,229700,1295426,5639643,7940,1407.89,57547.37768,622.4771537,568.3405233,297.089133,0.45,0.604,0.052,0.12,0.158,0.013,0.053,0.106,0.084,0.129,0.244,0.544,0.243,0.082,0.125,0.252,0.137,0.162,0.033,0.23,0.16,0.21,0.28,0.35,0.13,487.3,0.1,0.017,0.066,0.287,0.314,0.044,0.085,0.813,0.791,0.064,0.056,0.049,0.009,0.03,0.077,0.062,0.168,0.185,0.34,2.13,0,2.46,2.3,1.7,4.2,1206.082763,0.54,5.53,3.8,67.3,3.5,4.7,1.2,-0.2
Mississippi ,27.89219448,33.96551905,3753,1880723,247839,737607,2976154,1107,371.96,14806.73569,889.7320999,826.2503815,428.4085035,0.58,0.46,0.049,0.186,0.163,0.023,0.119,0.235,0.176,0.231,0.315,0.277,0.254,0.089,0.11,0.251,0.131,0.165,0.05,0.34,0.23,0.31,0.38,0.54,0.174,477.5,0.172,0.018,0.099,0.436,0.398,0.094,0.088,0.69,0.566,0.376,0.03,0.01,0.004,0.014,0.122,0.102,0.152,0.167,1.64,1.23,0.79,3.66,3.2,1.7,4,757.6766802,0.29,3.52,3.41,50.3,6,6.6,0.6,-1
Missouri ,29.9010596,37.37907285,2864,2232938,219082,1344599,6137423,6527,1063.48,17386.46864,614.9722876,521.3134656,282.1414715,0.57,0.543,0.048,0.118,0.173,0.022,0.097,0.247,0.109,0.17,0.296,0.425,0.236,0.085,0.121,0.246,0.139,0.172,0.035,0.3,0.19,0.29,0.37,0.42,0.162,466.6,0.119,0.02,0.081,0.309,0.341,0.088,0.091,0.751,0.794,0.112,0.043,0.021,0.004,0.026,0.109,0.092,0.197,0.191,0.43,2.18,0.4,3.01,3.5,1.2,3.5,927.5235001,0.8,3.73,5.39,54.5,3.7,4.4,0.7,-0.2
Montana ,33.1272053,39.5618543,2831,2355170,228817,244555,1068780,1545,1445.57,17812.99758,902.685688,922.1569065,456.1587088,0.57,0.446,0.06,0.194,0.192,0.032,0.076,0.106,0.112,0.184,0.333,0.371,0.226,0.085,0.114,0.236,0.143,0.196,0.028,0.24,0.16,0.2,0.29,0.38,0.142,478.6,0.105,0.014,0.073,0.295,0.285,0.068,0.102,0.812,0.861,0.006,0.037,0.008,0.061,0.028,0.078,0.073,0.127,0.102,0.12,3.04,0.22,3.38,2.4,1.3,3.7,1015.95057,0.5,1.42,5.07,55.4,3.8,4.2,0.4,-1
Nebraska ,28.13412568,39.62724044,1915,2578668,229085,443144,1934409,2404,1242.76,13719.21011,659.9824721,688.4016461,336.9462856,0.58,0.561,0.075,0.115,0.15,0.025,0.073,0.239,0.083,0.186,0.279,0.452,0.26,0.088,0.122,0.24,0.129,0.162,0.018,0.26,0.18,0.23,0.3,0.41,0.127,484.7,0.115,0.017,0.068,0.31,0.347,0.057,0.076,0.781,0.785,0.048,0.113,0.024,0.008,0.021,0.083,0.066,0.154,0.217,0,2.99,0.13,3.12,2.9,1.5,4,988.4563107,0.4,4.03,4.33,61.8,3.1,3.4,0.3,-1.3
Nevada ,30.51651376,37.743827,2938,2130909,214654,661168,3080157,6900,2240.15,181185.7002,983.7613873,926.9205247,477.2477384,0.48,0.478,0.045,0.191,0.154,0.029,0.102,0.204,0.13,0.189,0.301,0.38,0.235,0.083,0.131,0.262,0.126,0.163,0.068,0.26,0.21,0.18,0.32,0.4,0.141,416,0.118,0.022,0.09,0.328,0.292,0.08,0.103,0.759,0.478,0.092,0.293,0.085,0.009,0.037,0.103,0.078,0.132,0.17,0.21,0.58,1.26,2.05,3.7,1.8,4.2,1510.621383,0.67,0.9,4.41,58.7,6.4,8.2,1.8,0.4
New Hampshire ,36.56948819,42.43408673,1642,3137750,204963,278691,1359714,1675,1231.88,97122.40746,649.6482104,580.0826384,306.4488854,0.45,0.567,0.049,0.108,0.217,0.017,0.042,0.136,0.062,0.095,0.238,0.605,0.201,0.078,0.115,0.258,0.163,0.186,0.027,0.28,0.2,0.24,0.31,0.39,0.125,491,0.107,0.016,0.072,0.315,0.299,0.062,0.112,0.806,0.898,0.013,0.039,0.026,0.007,0.021,0.078,0.071,0.127,0.168,0,1.67,0.39,2.06,1.9,1.5,3.9,1150.350254,0.91,3.15,5.38,69,2.7,3.8,1.1,0
New Jersey ,35.2435894,47.28297189,3565,1935477,238601,2119298,8882184,9662,1087.8,0,587.9904716,519.304494,275.7585863,0.41,0.581,0.046,0.155,0.146,0.009,0.064,0.173,0.082,0.12,0.239,0.559,0.23,0.082,0.117,0.267,0.139,0.165,0.066,0.25,0.15,0.23,0.25,0.42,0.102,503.5,0.108,0.013,0.069,0.326,0.274,0.066,0.089,0.8,0.545,0.124,0.21,0.096,0.001,0.024,0.091,0.062,0.118,0.196,0,2.07,0.22,2.29,2.2,1.7,3.8,1001.712417,0.7,1.33,4.64,73.2,3.8,7.7,3.9,2.8
New Mexico ,46.08373193,49.6181866,3094,3013024,231041,484454,2096831,3333,1589.54,123343.0175,693.625967,679.465748,343.2364214,0.44,0.357,0.028,0.282,0.187,0.028,0.118,0.153,0.165,0.243,0.28,0.311,0.24,0.09,0.117,0.238,0.132,0.183,0.062,0.28,0.17,0.27,0.34,0.42,0.145,370.9,0.13,0.025,0.068,0.316,0.294,0.056,0.107,0.784,0.367,0.017,0.495,0.016,0.087,0.018,0.088,0.066,0.127,0.111,0.36,0.75,0.69,1.8,2.2,1.3,3.6,1194.095103,0.39,2.21,3.15,68.6,5.4,8.6,3.2,0.8
New York ,50.09068724,59.42828892,3378,4998525,255183,4964219,19453565,91271,4691.74,555816.1342,468.4670976,352.2154674,201.0538115,0.38,0.495,0.052,0.241,0.16,,0.046,0.087,0.119,0.151,0.267,0.462,0.217,0.086,0.134,0.257,0.136,0.169,0.066,0.26,0.18,0.23,0.3,0.42,0.112,503.1,0.107,0.014,0.065,0.296,0.265,0.058,0.095,0.765,0.552,0.14,0.193,0.086,0.002,0.027,0.077,0.053,0.102,0.14,0.46,2.22,0,2.68,2.3,1.5,3.7,1783.094867,0.85,1.34,5.6,74.4,3.9,8.7,4.8,2.7
North Carolina ,38.90933155,43.95620887,1993,2348395,232921,2442891,10488067,9280,884.82,141730.632,759.3445388,648.9337192,349.9054771,0.5,0.473,0.052,0.165,0.164,0.046,0.1,0.231,0.139,0.176,0.297,0.388,0.235,0.086,0.118,0.26,0.133,0.169,0.039,0.28,0.17,0.24,0.33,0.47,0.151,473.6,0.134,0.025,0.079,0.351,0.332,0.078,0.08,0.778,0.627,0.209,0.097,0.029,0.011,0.026,0.106,0.088,0.11,0.196,0.63,1.31,0.13,2.07,3.2,1.5,3.7,2321.909896,0.57,4.22,3.97,58.6,3.9,6.1,2.2,0
